sid,natoms,energy_init,energy_relaxed,energy_diff,force_mean,force_std,volume,atomic_number_mean,atomic_number_std
1291661,4.328801503,1.713162818,0.555186273,1.586611307,-0.387547124,-0.36630486,,-1.449329018,-1.605571467
423655,-1.446197778,-1.259843771,-1.101699536,-0.932015736,0.016529541,-0.908459492,,1.705049875,2.120623791
1340647,-1.157447814,-0.170605096,0.0460464,-0.192310118,0.352333004,1.61062819,,-0.426253612,-0.511572165
1950857,-1.125364485,-0.415749103,0.072716077,-0.455270976,-0.799868816,-0.288760582,,-0.142934251,1.48105837
1368725,-0.932864509,-0.693263187,0.272107666,-0.810238683,-1.219923745,-1.022072406,,-0.188720607,-1.188356017
924338,-1.414114449,-0.588322773,0.688924487,-0.84265322,-1.650506547,-1.296783243,,2.297064442,1.242682404
507783,-0.644114545,1.128534624,2.0583096,0.472131466,1.683590555,2.071952405,,0.074434343,-0.237265012
600604,-1.157447814,-0.297658943,0.593034506,-0.509105704,0.588830608,1.706355307,,-0.005117922,-1.030425517
2008823,0.190052018,-1.011277777,-0.901177346,-0.742427878,-0.499158472,-0.499187578,,-0.587325351,-0.616270343
1902931,-0.162864605,-0.28872537,1.25894485,-0.725301255,-0.611744741,-0.825546443,,-1.220419412,-0.022694389
348193,-0.932864509,-0.564306561,0.424064055,-0.728105452,-0.718707543,-1.059365157,,0.04282005,-0.835994518
1976745,-0.483697898,-0.565179696,-0.827386298,-0.30532119,-0.912728679,-0.906757655,,-0.509585857,0.235851853
444407,-0.451614569,0.911893893,-0.425812503,1.088744611,1.992935585,2.290569505,,-0.52162781,-0.641600555
1541514,-0.612031215,0.133843788,-0.528324558,0.317510228,0.601645769,-0.130848596,,-0.869400087,-0.213702352
1309581,-0.772447862,0.556606044,-0.170808943,0.634387318,1.830042159,3.580951427,,-1.327249002,-1.256202076
1522057,-0.740364533,-0.253806906,-1.740087026,0.326215557,1.294556578,1.373816844,,0.053514689,1.169023814
1110387,-0.708281203,-0.621100066,-0.80452844,-0.370984837,-0.166149466,-0.619700428,,0.754520274,0.742464041
483901,-0.291197922,-0.122944294,0.324978413,-0.237375532,-0.663764957,-0.404378741,,-1.186311164,-1.258506241
1501466,-0.098697946,0.02423781,0.009126866,0.022016681,-0.545790876,-0.092366395,,0.438232182,0.108104444
605166,0.222135347,2.1566272,1.774089608,1.633302808,1.901919316,2.159483088,,-0.523350662,-0.84733667
1535248,-0.612031215,-0.099013285,0.060105947,-0.122911946,0.65841748,-0.391980023,,-0.796542455,0.089711596
1786327,0.831718605,-0.496945859,-0.859806914,-0.223665128,-0.530060115,-0.623475183,,-0.943509603,0.020063238
1758852,2.307551754,0.275440432,-0.258547639,0.372847482,-0.949240816,-0.434789845,,-1.926234849,-0.650071459
1814492,-0.419531239,-0.302689192,0.963650013,-0.639791166,-0.763560887,-0.783656556,,-0.189627598,-0.076805851
1182022,-0.034531287,0.321505646,0.327382655,0.222192518,-0.489411503,-0.536811923,,0.047657423,-0.153416985
922614,1.120468569,-0.278838866,-0.50162922,-0.119003681,-0.754059165,-0.422819981,,-1.464860895,-0.828766657
1737142,-0.836614521,-0.422990364,-0.275643158,-0.34483196,-0.539388514,-0.022011219,,-0.623011558,-0.891241412
2111712,-1.157447814,-0.806607236,-0.921463054,-0.523552672,-0.417858991,-0.514649213,,-1.320537702,-1.132298815
